h3,centre_lat,centre_lon,total_density,competitors,complementary,diversity_entropy,unique_categories,nearest_competitor_km,dist_rail_km,dist_bus_km,dist_university_km,dist_school_km,dist_office_km,dist_shopping_km,dist_hospital_km,dist_hotel_km,dist_park_km,retail_hex,food_hex,retail_count,food_count,median_hhd_income_weekly,median_age,pop_density,sa2_name,saturation,total_density_log,complementary_log,competitors_log,unique_categories_log,foot_traffic_score,complementary_score,diversity_score,variety_score,low_competition_score,low_saturation_score,rail_proximity_score,bus_proximity_score,university_proximity_score,school_proximity_score,office_proximity_score,shopping_proximity_score,hospital_proximity_score,hotel_proximity_score,park_proximity_score,income_score,pop_density_score,age_fit_score,score
88be0e35ddfffff,-33.866951613234086,151.19548744286064,15255,618,3895,4.069308683591595,323,0.03575892767495199,0.09426506122801838,0.09499503491038158,0.09754831343520981,0.3630873907364711,0.03581810385198494,0.27304453114882193,0.3527683035429522,0.13956132578056224,0.11272975751448445,82,224,2092,2269,2422.0,37.0,13609.473704978973,Pyrmont,0.15846153846153846,9.632728147280256,8.267705664762426,6.428105272684596,5.780743515792329,0.9458902980571943,0.9362934379986609,0.9357385920676403,0.9937481606983596,0.08138376546506032,0.8811538461539353,0.9973224369871021,0.9972733192907437,0.9953739940300884,0.9841244454412794,0.9986053138454928,0.9892243930084306,0.9848367055498763,0.9939751586712983,0.9945806197512009,0.9399010133959876,0.9691149738661073,0.95,0.8574763499364472
88be0e343dfffff,-33.88482367951055,151.2149200310084,13940,651,3834,4.022509896488632,299,0.05749672645661303,0.3450816638748947,0.13538420016813435,0.200191680500714,0.2516531720271157,0.058936905342735046,0.4219778302034928,0.06243452089616539,0.054095342299362525,0.12063663374764216,261,352,1748,2666,2308.0,35.0,12024.974344520006,Surry Hills,0.16957541026308934,9.542589417753089,8.251924713801357,6.480044561926653,5.703782474656201,0.9363527872883614,0.9345062915484429,0.9249771987796928,0.980518047155781,0.07396131790330263,0.8728184423027784,0.9861766556945599,0.9956255453933439,0.990506366778535,0.9892156660444127,0.9974543655696722,0.9830405077600264,0.9975987062193323,0.9980603537844963,0.9941798119545994,0.9340884878699401,0.9565135216733845,1.0,0.8534386839476501
88be0e342dfffff,-33.879763383168736,151.24327075761343,3546,131,929,4.1338822384557545,207,0.1561146011198933,0.5481449454658163,0.5811888512716493,0.20471822859806008,0.39226564563467925,0.12017260911003512,0.2123250874517103,0.2347090420475497,0.1482348517358198,0.36157406786086616,158,100,668,414,2921.0,42.0,6388.130839634685,Double Bay - Darling Point,0.14025695931477516,8.173857454773621,6.835184586147301,4.882801922586371,5.337538079701318,0.7915282939208566,0.7740646238527178,0.9505872978335655,0.9175582059418927,0.30221722796506245,0.8948072805139975,0.9771529351701862,0.9774378640500954,0.9902917055733931,0.9827913456607831,0.9944058023602932,0.9917455355235912,0.9900261546057335,0.9935605721375294,0.9819664423206084,0.962487052735236,0.8921199074482503,0.825,0.8359188661865663
88be0e3461fffff,-33.896524182493884,151.25183763200113,3362,144,827,4.136233328242267,218,0.24995868687708683,0.680085865682326,0.5994095941524649,0.2888615972198036,0.21868377604675687,0.08334635252205796,0.5299567174673759,0.18581475292915367,0.2657371336823807,0.4072721592812372,167,137,607,498,2566.0,36.0,7022.034189383784,Bondi Junction - Waverly,0.17307692307692307,8.12058871174027,6.71901315438526,4.976733742420574,5.389071729816501,0.7858919685256816,0.7609085496463879,0.9511279315425604,0.926417182278783,0.2887937865342294,0.8701923076924051,0.9712897481851508,0.9766945046783768,0.986301398495106,0.9907219759556067,0.9962391636849197,0.9785570977212471,0.9921753669528914,0.9879440715317263,0.9796499584411352,0.9468641234915028,0.9017511053256617,0.975,0.8337373794964825
88be0e3585fffff,-33.83564372974611,151.20012700275203,5761,280,1512,3.9840881773766026,240,0.3583961896713443,0.36393522195024264,0.8979324520108757,0.3280285803873091,0.4740470429714885,0.08620739375652695,0.6284546286591705,0.40228944068165384,0.5874619494299682,0.19416243534973623,24,26,504,789,2615.0,38.0,6038.285597718007,Crows Nest - Waverton,0.1845748187211602,8.659039915644474,7.321849713788356,5.638354669333745,5.484796933490655,0.8428650829978532,0.8291780233844842,0.9161421144589408,0.9428729798459629,0.19424403994666828,0.8615688859592336,0.985338841799162,0.9645155410920504,0.9844439937735168,0.9790549068909276,0.9960967293776231,0.9744673489284404,0.9826599392791555,0.9725659223365469,0.9904527124446915,0.9491447203772998,0.8863865717006468,0.925,0.832633117653953
88be0e34e5fffff,-33.88149507186343,151.18229020332024,3867,177,941,4.191190934782443,240,0.1021069543729488,0.6440376992971485,0.1290343581941435,0.2232041789859131,0.280945022574095,0.09007322538373586,0.5867934465546787,0.6680138356871831,0.49599683081425816,0.07919370708800239,39,72,461,623,2080.0,36.0,8803.47828393606,Glebe - Forest Lodge,0.18710359408033828,8.260492856573185,6.848005274576363,5.181783550292085,5.484796933490655,0.8006951202335846,0.775516529246244,0.9637654474859099,0.9428729798459629,0.25949089331630704,0.8596723044398515,0.9728916556118774,0.9958846025882768,0.9894150515970932,0.9878773762916245,0.9959042725044703,0.9761971700704033,0.9709796763898831,0.9769378705711236,0.9962805970977279,0.9215489369065641,0.9247674346289259,0.975,0.8318172917805324
88be085305fffff,-33.81214672702048,150.971943065688,659,9,114,3.951451706641894,121,0.39365686411249673,0.5645641652809945,1.507697134637828,0.22133664551237756,0.2435731806215767,0.5968158005252919,0.3812037747886253,1.1542478641694975,0.35088099899913555,0.13669603083984272,45,46,98,95,2176.0,33.0,5479.786243212588,Wentworthville - Westmead,0.07563025210084033,6.492239835020471,4.74493212836325,2.302585092994046,4.804021044733257,0.6135976059514747,0.5373496584996282,0.9086373495099246,0.8258430881975476,0.6709462651754149,0.9432773109244122,0.9764232983314647,0.9396387128343503,0.989503615106737,0.9895848257082348,0.9706765593214395,0.9847334943613979,0.9496066245168505,0.9838742733694279,0.9933657443793055,0.9269884483466646,0.8765069448800002,0.95,0.8302087969272336
88be0e34a9fffff,-33.87927130020037,151.16053916063356,2186,69,412,4.3063981082165625,192,0.14205075381049556,0.7086700597692256,0.28413506231284263,0.06940874277383845,0.1488620631413539,0.04343812092018037,0.7863352504171469,0.9101128868453074,0.8164499571822927,0.16248687560384484,30,50,336,290,2721.0,38.0,5875.845198327264,Leichhardt,0.16546762589928057,7.690286020676768,6.023447592961033,4.248495242049359,5.262690188904886,0.740361966367852,0.6821377881720108,0.9902573670348,0.9046913569616692,0.39286359881578703,0.8758992805756326,0.9700195245542028,0.989556893409735,0.9967084488995481,0.993911999158598,0.9982259583019161,0.9679119603478139,0.9603378963504123,0.9616205069543375,0.9920583795796637,0.9539354880074761,0.8836105801085632,0.925,0.8296130754059908
88be0e3417fffff,-33.89825947459106,151.19084445631472,4734,240,1089,4.20412411063719,244,0.2599085336401711,0.4830392450232051,1.2476787470869273,0.1405858936562939,0.3398716676952741,0.071536963916165,0.4281797345265047,0.09962425000278063,0.3399163008995406,0.14956112522478415,20,49,647,882,2825.0,34.0,4427.219719360656,Erskineville - Alexandria,0.21937842778793418,8.462737005620179,6.993932975223189,5.484796933490655,5.501258210544727,0.8220944206185296,0.7920424137029426,0.9667394346435024,0.9457027825781792,0.21618839572492687,0.8354661791591728,0.9800461004964576,0.9502467932221499,0.9933330350834536,0.9851851283161893,0.9968270832386166,0.9827829974188299,0.9959639830967637,0.9843983758166198,0.9927135993372626,0.9584578828853538,0.8547952665073745,0.975,0.8268573077669038
88be0e2533fffff,-33.70656737958109,151.10353256087484,1827,56,346,4.237211140795132,194,0.18941858538544748,0.12984278643451613,0.6286987768124424,0.1423641514927215,0.21746258295417742,0.046822448810244346,0.34910646261570716,0.3104115871818425,0.17013742349052793,0.16884980108011768,224,149,343,228,2155.0,38.0,5622.572151342969,Wahroonga (West) - Waitara,0.15954415954415954,7.510977752014095,5.849324779946859,4.04305126783455,5.272999558563747,0.721389494132201,0.6624188898655694,0.9743478058492863,0.9064636059999572,0.4222228208563874,0.88034188034197,0.9957414350125395,0.9754995814766891,0.9932487052669993,0.99077776997925,0.9980574726496024,0.986066212407123,0.9866985503466773,0.9925136494268291,0.9917358362559943,0.9258193401036856,0.879125418908313,0.925,0.8261485967600505
